TAVG
51
49
52
50
52
51
51
52
52
52
52
50
53
56
57
54
51
55
58
53
55
54
55
55
53
52
55
51
54
54
52
56
56
59
55
55
58
57
56
55
53
51
50
54
55
54
50
52
55
58
57
56
54
49
47
51
56
54
52
52
54
52
54
54
49
51
49
47
52
54
56
57
55
59
61
57
58
61
54
58
64
59
52
51
53
52
53
51
53
58
72
72
69
60
55
54
54
57
51
55
54
57
63
59
57
57
58
56
57
56
60
56
56
55
56
56
62
55
54
55
58
56
55
57
57
56
52
56
60
57
54
54
53
56
57
58
56
58
62
63
62
74
68
69
59
56
56
59
60
57
57
60
61
56
54
54
59
57
60
57
57
57
60
61
71
86
65
58
62
60
59
58
59
55
56
59
59
59
59
58
58
57
58
54
57
57
57
57
58
60
59
59
60
61
61
58
58
57
60
60
60
56
56
58
59
61
58
58
60
59
61
59
62
69
64
61
62
58
57
58
60
61
60
63
61
63
62
61
62
61
60
57
60
61
61
60
63
60
60
59
60
59
62
63
61
64
61
60
63
69
74
62
61
60
61
65
71
65
61
61
75
78
75
70
65
62
63
64
67
61
61
59
63
67
62
59
59
59
59
57
58
59
61
58
57
61
60
59
59
66
63
60
62
58
59
67
69
65
59
56
59
55
57
56
56
55
60
64
58
56
59
62
54
51
50
51
51
49
50
52
53
54
55
54
55
52
54
51
54
51
54
52
53
55
54
54
54
52
55
57
52
57
57
54
53
52
52
53
54
55
56
55
56
53
56
53
55
51
54
53
55
55
56
53
53
54
56
58
55
56
56
54
52
52
48
52
49
51
51
50
51
50
51
49
53
51
50
53
52
49
47
48
50
52
51
49
52
52
54
59
63
57
50
50
51
48
48
47
41
51
51
50
52
55
54
55
53
54
50
48
49
53
55
57
58
52
51
51
53
56
58
55
52
52
53
53
54
52
56
53
54
57
61
64
66
56
57
57
60
57
57
57
56
55
62
59
52
51
48
52
52
50
49
49
49
53
51
53
50
50
50
56
61
58
53
50
51
53
56
59
56
53
52
54
55
57
59
63
68
63
61
63
74
68
61
61
58
59
57
57
60
59
59
61
58
61
61
61
58
57
56
58
57
59
65
79
76
57
57
59
59
61
62
67
58
57
57
57
58
64
66
62
63
63
67
67
71
67
63
58
57
58
62
64
62
60
63
63
67
73
62
61
58
58
61
63
61
61
62
60
56
57
59
61
63
58
59
59
60
60
61
62
60
58
61
58
60
61
60
60
60
63
63
64
63
63
63
63
61
61
61
60
59
64
63
62
58
56
60
64
65
60
63
64
65
66
61
60
61
60
60
61
63
60
62
59
61
63
66
63
59
60
62
57
57
60
57
60
59
58
59
59
60
66
64
60
63
65
77
65
61
62
59
61
60
59
61
64
64
62
73
76
77
68
58
63
62
65
55
54
62
62
66
68
54
60
62
63
60
62





























































57
54
52
54
51
58
54
55
56
56
53
52
53
50
51
50
50
50
50
50
49
48
48
50
51
48
47
43
44
46
49
51
51
53
55
52
50
53
52
55
58
59
57
53
53
55
52
50
51
52
57
61
64
53
58
62
62
66
67
60
59
59
56
55
55
49
49
63
55
57
54
50
49
48
48
45
52
55
60
55
53
54
52
51
58
59
54
52
56
55
53
55
54
54
57
57
56
53
55
57
56
62
64
56
52
50
49
51
59
53
53
63
59
58
56
53
52
51
51
52
55
52
52
52
56
53
54
57
52
53
